id,fila,columna,tipo,sala_id:id
cine_gestion.asiento_sala_1_1,1,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_2,1,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_3,1,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_4,1,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_5,1,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_6,1,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_7,1,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_8,1,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_9,1,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_10,1,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_11,1,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_12,1,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_13,2,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_14,2,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_15,2,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_16,2,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_17,2,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_18,2,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_19,2,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_20,2,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_21,2,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_22,2,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_23,2,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_24,2,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_25,3,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_26,3,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_27,3,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_28,3,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_29,3,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_30,3,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_31,3,7,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_32,3,8,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_33,3,9,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_34,3,10,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_35,3,11,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_36,3,12,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_37,4,1,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_38,4,2,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_39,4,3,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_40,4,4,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_41,4,5,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_42,4,6,NORM,cine_gestion.sala_1
cine_gestion.asiento_sala_1_43,4,7,NORM,cine_gestion.sala_1
